Fecha,SP500_close,entry_type,Rotura High Prematura,Rotura Low Prematura,target_profit_outside_range,profit_points_outside_range,target_profit_mfe_time,stop_out_outside_range,lost_outside_range,stop_out_time,mfe_time,rango_apertura,subrango_apertura,MFE_desde_entrada,MAE_desde_entrada
2021-01-27,4235.0,Short,,2021-01-27 18:05:00+01:00,True,43.5,2021-01-27 22:15:00+01:00,False,44.25,,2021-01-27 22:15:00+01:00,47.75,39.75,56.5,29.75
2021-01-28,4269.25,Long,2021-01-28 17:05:00+01:00,,True,16.25,2021-01-28 19:45:00+01:00,False,44.75,,2021-01-28 19:45:00+01:00,43.75,36.75,16.25,42.0
2021-01-29,4197.75,Short,,2021-01-29 17:15:00+01:00,True,46.25,2021-01-29 19:20:00+01:00,False,31.0,,2021-01-29 19:20:00+01:00,35.25,28.75,53.25,11.25
2021-02-01,4265.0,Long,2021-02-01 17:25:00+01:00,,True,28.75,2021-02-01 20:55:00+01:00,False,28.75,,2021-02-01 20:55:00+01:00,30.0,24.0,31.0,4.75
2021-02-02,4329.5,Long,2021-02-02 17:10:00+01:00,,True,5.75,2021-02-02 18:20:00+01:00,False,31.75,,2021-02-02 18:20:00+01:00,31.25,29.0,6.25,15.75
2021-02-03,4333.75,Long,2021-02-03 18:55:00+01:00,,True,4.75,2021-02-03 20:40:00+01:00,False,22.0,,2021-02-03 20:40:00+01:00,23.5,21.25,7.75,11.25
2021-02-04,4367.75,Long,2021-02-04 17:05:00+01:00,,True,20.5,2021-02-04 22:35:00+01:00,False,18.5,,2021-02-04 22:35:00+01:00,16.75,14.0,20.75,4.5
2021-02-05,4386.0,Long,2021-02-05 18:55:00+01:00,,True,1.75,2021-02-05 19:00:00+01:00,False,17.5,,2021-02-05 19:00:00+01:00,17.75,17.0,2.25,10.75
2021-02-08,4411.75,Short,2021-02-08 21:55:00+01:00,2021-02-08 17:15:00+01:00,True,6.0,2021-02-08 17:45:00+01:00,True,8.5,2021-02-08 21:55:00+01:00,2021-02-08 17:45:00+01:00,7.75,6.5,6.75,17.5
2021-02-09,4412.0,Short,2021-02-09 18:10:00+01:00,2021-02-09 17:20:00+01:00,False,,2021-02-09 17:20:00+01:00,True,9.25,2021-02-09 18:15:00+01:00,2021-02-09 17:20:00+01:00,12.5,7.5,1.0,14.0
2021-02-10,4409.5,Short,,2021-02-10 16:35:00+01:00,True,9.75,2021-02-10 16:45:00+01:00,False,34.75,,2021-02-10 16:45:00+01:00,35.75,30.75,13.0,23.25
2021-02-11,4407.0,Short,,2021-02-11 18:10:00+01:00,True,16.0,2021-02-11 18:50:00+01:00,False,14.5,,2021-02-11 18:50:00+01:00,14.0,11.5,21.5,7.75
2021-02-12,4437.0,Long,2021-02-12 16:40:00+01:00,,True,24.75,2021-02-12 23:00:00+01:00,False,13.75,,2021-02-12 23:00:00+01:00,10.25,8.75,21.75,7.75
2021-02-15,4451.75,Long,2021-02-15 17:20:00+01:00,,True,1.0,2021-02-15 17:25:00+01:00,False,4.5,,2021-02-15 17:25:00+01:00,3.75,2.75,0.5,2.75
2021-02-16,4430.5,Long,2021-02-16 16:40:00+01:00,2021-02-16 16:55:00+01:00,False,,2021-02-16 16:40:00+01:00,True,13.5,2021-02-16 16:55:00+01:00,2021-02-16 16:40:00+01:00,13.5,10.5,0.0,26.25
2021-02-17,4428.25,Short,2021-02-17 20:05:00+01:00,2021-02-17 17:20:00+01:00,False,,2021-02-17 17:35:00+01:00,True,21.0,2021-02-17 20:05:00+01:00,2021-02-17 17:35:00+01:00,24.25,14.75,1.75,30.25
2021-02-18,4412.0,Long,2021-02-18 19:25:00+01:00,,True,10.25,2021-02-18 21:40:00+01:00,False,22.25,,2021-02-18 21:40:00+01:00,24.25,16.5,14.25,6.75
2021-02-19,4400.5,Long,2021-02-19 17:05:00+01:00,2021-02-19 18:20:00+01:00,False,,2021-02-19 17:35:00+01:00,True,11.0,2021-02-19 18:25:00+01:00,2021-02-19 17:35:00+01:00,14.25,7.75,2.5,28.0
2021-02-22,4378.75,Long,2021-02-22 18:40:00+01:00,,True,9.0,2021-02-22 20:00:00+01:00,False,17.25,,2021-02-22 20:00:00+01:00,18.75,14.75,12.0,15.25
2021-02-23,4377.25,Long,2021-02-23 16:50:00+01:00,,True,41.0,2021-02-23 21:30:00+01:00,False,52.5,,2021-02-23 21:30:00+01:00,45.5,37.75,35.0,29.5
2021-02-24,4424.75,Long,2021-02-24 16:35:00+01:00,,True,47.5,2021-02-24 22:55:00+01:00,False,24.75,,2021-02-24 22:55:00+01:00,24.5,20.0,47.5,7.25
2021-02-25,4323.25,Short,,2021-02-25 16:35:00+01:00,True,77.5,2021-02-25 21:40:00+01:00,False,28.0,,2021-02-25 21:40:00+01:00,26.5,22.0,83.5,6.5
2021-02-26,4309.0,Long,2021-02-26 18:10:00+01:00,,True,5.5,2021-02-26 18:20:00+01:00,False,63.0,,2021-02-26 18:20:00+01:00,66.75,58.75,10.5,58.0
2021-03-01,4404.5,Long,2021-03-01 16:35:00+01:00,,True,25.5,2021-03-01 20:55:00+01:00,False,31.0,,2021-03-01 20:55:00+01:00,31.75,25.75,26.25,4.0
2021-03-02,4368.0,Short,,2021-03-02 16:40:00+01:00,True,11.0,2021-03-02 22:00:00+01:00,False,27.25,,2021-03-02 22:00:00+01:00,25.75,22.5,10.75,23.75
2021-03-03,4316.25,Short,,2021-03-03 20:10:00+01:00,True,19.75,2021-03-03 23:00:00+01:00,False,34.0,,2021-03-03 23:00:00+01:00,37.25,29.0,23.5,9.5
2021-03-04,4268.0,Long,2021-03-04 17:45:00+01:00,2021-03-04 18:50:00+01:00,True,6.25,2021-03-04 18:10:00+01:00,True,47.5,2021-03-04 18:50:00+01:00,2021-03-04 18:10:00+01:00,47.75,45.5,6.75,115.0
2021-03-05,4341.75,Short,2021-03-05 19:20:00+01:00,2021-03-05 16:35:00+01:00,True,27.25,2021-03-05 17:30:00+01:00,True,48.5,2021-03-05 19:25:00+01:00,2021-03-05 17:30:00+01:00,48.25,43.5,31.0,90.5
2021-03-08,4330.75,Long,2021-03-08 16:35:00+01:00,2021-03-08 21:20:00+01:00,True,5.0,2021-03-08 19:20:00+01:00,True,45.25,2021-03-08 22:00:00+01:00,2021-03-08 19:20:00+01:00,42.0,34.0,4.0,58.5
2021-03-09,4373.0,Long,2021-03-09 16:35:00+01:00,,True,12.5,2021-03-09 19:45:00+01:00,False,30.75,,2021-03-09 19:45:00+01:00,33.25,25.25,15.25,16.25
2021-03-10,4409.0,Short,2021-03-10 19:10:00+01:00,2021-03-10 16:40:00+01:00,True,0.75,2021-03-10 16:45:00+01:00,True,26.0,2021-03-10 20:50:00+01:00,2021-03-10 16:45:00+01:00,25.25,20.25,2.0,30.75
2021-03-11,4437.5,Long,2021-03-11 16:35:00+01:00,,True,21.25,2021-03-11 19:10:00+01:00,False,15.0,,2021-03-11 19:10:00+01:00,15.5,12.75,24.5,3.0
2021-03-12,4443.75,Short,2021-03-12 18:20:00+01:00,2021-03-12 17:05:00+01:00,False,,2021-03-12 17:05:00+01:00,True,18.0,2021-03-12 18:35:00+01:00,2021-03-12 17:05:00+01:00,18.75,11.5,1.25,32.75
2021-03-14,4445.0,Long,2021-03-14 23:05:00+01:00,,True,18.25,2021-03-14 23:05:00+01:00,False,37.0,,2021-03-14 23:05:00+01:00,18.75,11.5,0.75,10.25
2021-03-15,4464.0,Short,2021-03-15 18:00:00+01:00,2021-03-15 16:35:00+01:00,True,5.25,2021-03-15 16:40:00+01:00,True,18.0,2021-03-15 18:00:00+01:00,2021-03-15 16:40:00+01:00,13.25,11.0,3.5,43.75
2021-03-16,4469.0,Short,,2021-03-16 16:45:00+01:00,True,19.0,2021-03-16 19:45:00+01:00,False,8.75,,2021-03-16 19:45:00+01:00,8.75,6.75,19.25,4.5
2021-03-17,4477.5,Long,2021-03-17 19:05:00+01:00,,True,30.0,2021-03-17 20:10:00+01:00,False,20.25,,2021-03-17 20:10:00+01:00,17.0,12.0,28.25,13.5
2021-03-18,4419.0,Long,2021-03-18 17:00:00+01:00,2021-03-18 18:00:00+01:00,True,8.5,2021-03-18 17:20:00+01:00,True,14.5,2021-03-18 18:00:00+01:00,2021-03-18 17:20:00+01:00,13.5,10.0,8.0,50.25
2021-03-19,4407.5,Long,2021-03-19 16:45:00+01:00,,True,14.0,2021-03-19 20:05:00+01:00,False,23.0,,2021-03-19 20:05:00+01:00,23.0,19.75,15.25,8.5
2021-03-21,4403.75,None,,,False,,,False,,,,23.0,19.75,,
2021-03-22,4443.25,Long,2021-03-22 16:35:00+01:00,,True,15.25,2021-03-22 20:05:00+01:00,False,12.75,,2021-03-22 20:05:00+01:00,12.75,7.75,16.25,3.5
2021-03-23,4414.5,Short,,2021-03-23 19:45:00+01:00,True,22.0,2021-03-23 20:55:00+01:00,False,19.75,,2021-03-23 20:55:00+01:00,22.0,18.25,28.0,4.75
2021-03-24,4396.0,Short,,2021-03-24 18:15:00+01:00,True,29.0,2021-03-24 21:05:00+01:00,False,25.0,,2021-03-24 21:05:00+01:00,22.75,17.25,29.0,12.0
2021-03-25,4414.75,Long,2021-03-25 16:35:00+01:00,,True,34.0,2021-03-25 20:55:00+01:00,False,23.25,,2021-03-25 20:55:00+01:00,30.0,19.75,43.0,12.25
